Q(1): السؤال,خيار 1,خيار 2,خيار 3,خيار 4,الإجابة,التفسير,رابط الصورة,اسم الملف,شرح كامل,العمود 11,
Q(2983): Resin infiltration (ICON) for white-spot lesions works by:,Etching only,Infiltration then polymerization,Bleaching then sealant,Abrasion then sealant,Infiltration then polymerization,Resin penetrates subsurface porosities.,,,"Low-viscosity resin infiltrates demineralized enamel, refractive index matching masks white spots and arrests lesion progression.",,
Q(2984): Management of a dens invaginatus in a primary tooth is:,Extract,Monitor,Pulpotomy,Resin restoration,Monitor,Low risk in primary teeth.,,,"As primary successors are developing, conservative monitoring avoids unnecessary intervention unless caries involve the invagination.",,
Q(2985): Pulp canal obliteration in a primary molar is best diagnosed by:,Periapical film,CBCT,Electric pulp test,Thermal test,CBCT,3D imaging reveals residual lumen.,,,Cone-beam CT delineates calcified canals and guides potential endodontic access without extensive dentin removal.,,
Q(2986): Bioactive glass restorative material in primary teeth provides:,No fluoride release,Antibacterial ions,Thermal insulation,Radiopacity only,Antibacterial ions,Releases Ca²⁺ and PO₄³⁻ plus ionic disruptors.,,,"Bioglass (45S5) dissolves in saliva, elevates pH, and releases ions that inhibit bacterial biofilm formation and promote remineralization.",,
"Q(2987): In a child with titanium allergy needing space maintainer, use:",Stainless steel,Acrylic removable,Nylon monomer,Gold alloy,Acrylic removable,"Titanium-free, biocompatible acrylic.",,,"Acrylic plates avoid metal contact, eliminating allergic reactions while maintaining arch length.",,
Q(2988): Xylitol syrup taken how many times daily reduces MS levels most effectively?,Once,Twice,Three times,Four times,Three times,Thrice-daily dosage disrupts bacterial metabolism.,,,"Frequent xylitol exposures inhibit Streptococcus mutans adherence and acid production, lowering counts significantly.",,
Q(2989): Daily probiotics with Lactobacillus rhamnosus in children prevents caries by:,pH reduction,Competition for adhesion,Enamel abrasion,Salivary thinning,Competition for adhesion,Displaces pathogenic strains.,,,"L. rhamnosus colonizes oral surfaces, competes with cariogenic bacteria, and modulates local immunity to reduce lesion development.",,
"Q(2990): For teledentistry triage in pediatrics, the most reliable tool is:",Parent photos only,Video consultation,Phone call,Email questionnaire,Video consultation,Real-time visuals aid diagnosis.,,,"Live video allows dynamic examination of lesions, behaviors, and emergencies, improving triage accuracy and care planning.",,
Q(2991): Using digital avatars for behavior guidance achieves:,Increased fear,Reduced anxiety,Longer appointments,No effect,Reduced anxiety,Familiar character engagement soothes child.,,,"Interactive avatars distract and guide children through treatment steps, lowering stress hormones and improving cooperation.",,
Q(2992): surgery,surgery,surgery,surgery,surgery,surgery,surgery,,,surgery,,
"Q(2993): According to the Pell and Gregory classification, a horizontally impacted mandibular third molar that is entirely below the occlusal plane and completely within the ramus is classified as:","Class I, Position A","Class II, Position B","Class III, Position C","Class I, Position C","Class III, Position C",It is in ramus (III) and below occlusal plane (C).,,,Pell & Gregory divides by ramus relation (I–III) and occlusal level (A–C). A III-C impaction is most difficult to remove.,,
Q(2994): A 16-year-old with mandibular angle fracture from a sports injury presents with malocclusion and trismus. The ideal fixation is:,Champy miniplates along ideal lines,Reconstruction plate extra-oral,IMF only,Lag screws bicortically,Champy miniplates along ideal lines,Provides stable occlusion with minimal hardware,,,"Follows Champy’s biomechanical principles for angle fractures, aligning plates along the tension and compression zones to provide stable fixation. Follows Champy’s biomechanical principles for angle fractures, aligning plates along the tension and compression zones to provide stable fixation.",,
"Q(2995): In a 45-year-old smoker with a 3 cm squamous cell carcinoma of the lateral tongue, the next step is:",Wide excision + neck dissection,Radiation only,Chemotherapy,Observation,Wide excision + neck dissection,Depth >4 mm warrants elective neck dissection,,,"Depth of invasion exceeding 4 mm increases risk of occult lymph node metastasis, requiring concurrent neck dissection. Depth of invasion exceeding 4 mm increases risk of occult lymph node metastasis, requiring concurrent neck dissection.",,
Q(2996): A 10-year-old with unerupted permanent canine and a palatal swelling on OPG. Diagnosis?,Dentigerous cyst,Ameloblastoma,OKC,Stafne cyst,Dentigerous cyst,Radiolucent around crown of impacted tooth,,,"Cyst attaches at the cementoenamel junction of the impacted tooth, expanding the follicle space and often presenting as a painless swelling. Cyst attaches at the cementoenamel junction of the impacted tooth, expanding the follicle space and often presenting as a painless swelling.",,
"Q(2997): During extraction of a deeply impacted third molar, you encounter sudden hemorrhage from the pterygomaxillary fissure:",Posterior superior alveolar artery,Lingual artery,Facial artery,Inferior alveolar artery,Posterior superior alveolar artery,Runs through pterygomaxillary fissure,,,"The PSA artery traverses the pterygomaxillary fissure, and its laceration can cause heavy bleeding into the infratemporal fossa; ligation through a transantral approach can control hemorrhage. The PSA artery traverses the pterygomaxillary fissure, and its laceration can cause heavy bleeding into the infratemporal fossa; ligation through a transantral approach can control hemorrhage.",,
Q(2998): A 60-year-old on warfarin (INR 3.2) needs an alveolar biopsy. Management:,Delay and reverse warfarin,Proceed with local hemostasis,Switch to LMWH,Cancel procedure,Proceed with local hemostasis,INR <3.5 often safe with good hemostasis,,,"With INR under 3.5, minor oral surgery can proceed using local measures (e.g., tranexamic acid gauze, absorbable sutures, topical hemostatic agents) to control bleeding without interrupting systemic anticoagulation. With INR under 3.5, minor oral surgery can proceed using local measures (e.g., tranexamic acid gauze, absorbable sutures, topical hemostatic agents) to control bleeding without interrupting systemic anticoagulation.",,
"Q(2999): A 7-year-old presents after bicycle accident: intraoral laceration into buccinator and risk to marginal mandibular branch. To avoid facial nerve injury, incise:",Parallel to vermillion border,Along relaxed skin tension lines,Perpendicular to commissure,Along mentolabial fold,Along relaxed skin tension lines,Minimizes nerve stretching and scar,,,"Incisions placed in relaxed skin tension lines follow natural wrinkle patterns, reducing tension on underlying branches and minimizing scar formation and nerve risk. Incisions placed in relaxed skin tension lines follow natural wrinkle patterns, reducing tension on underlying branches and minimizing scar formation and nerve risk.",,
"Q(3000): In Le Fort II fracture with CSF rhinorrhea, first management is:",Endoscopic repair of CSF leak,IMF,Soft-diet only,Antibiotics,Endoscopic repair of CSF leak,Prevents meningitis,,,CSF leak from ethmoid roof or cribriform plate breaches requires early endoscopic repair to restore dura integrity and prevent ascending infection such as meningitis. CSF leak from ethmoid roof or cribriform plate breaches requires early endoscopic repair to restore dura integrity and prevent ascending infection such as meningitis.,,
"Q(3001): A panoramic shows radiolucent lesion left ramus, multilocular “soap bubble,” expansion but intact cortex. Dx:",Ameloblastoma,Traumatic bone cyst,Odontogenic keratocyst,Central giant cell granuloma,Ameloblastoma,Common multilocular ramus lesion in adults,,,"Ameloblastomas present as expansive, multilocular radiolucencies, thinning but not perforating cortex, with histology showing enamel organ–like islands in a fibrous stroma. Ameloblastomas present as expansive, multilocular radiolucencies, thinning but not perforating cortex, with histology showing enamel organ–like islands in a fibrous stroma.",,
"Q(3002): A 12-year-old with facial asymmetry, OPG shows late-developing condylar hyperplasia. Best Tx:",High condylectomy + orthodontics,Condylectomy + arthroplasty,Orthognathic only,Observation,High condylectomy + orthodontics,Stops growth and corrects asymmetry,,,"Early high condylectomy halts abnormal condylar growth, preventing further asymmetry and allowing orthodontic alignment for occlusal and skeletal correction. Early high condylectomy halts abnormal condylar growth, preventing further asymmetry and allowing orthodontic alignment for occlusal and skeletal correction.",,
"Q(3003): On sagittal CT, pterygoid plexus injury is suspected. Bleeding into infratemporal fossa presents as:",Lateral pharyngeal swelling,Ecchymosis buccal mucosa,Eye proptosis,Submandibular swelling,Lateral pharyngeal swelling,Plexus lies medial to ramus in infratemporal fossa,,,"Pterygoid plexus hemorrhage tracks into the lateral pharyngeal space, causing palpable swelling and risk of airway compromise; packing via intraoral approach can tamponade bleeding. Pterygoid plexus hemorrhage tracks into the lateral pharyngeal space, causing palpable swelling and risk of airway compromise; packing via intraoral approach can tamponade bleeding.",,
Q(3004): A deep lobe parotid tumor displacement of tragal pointer suggests:,Pleomorphic adenoma,Warthin tumor,Mucoepidermoid carcinoma,Hemangioma,Pleomorphic adenoma,Most common benign parotid deep-lobe lesion,,,Surgical approach via transparotid with facial nerve monitoring.,,
Q(3005): A 30-year-old with pathologic fracture angle of mandible secondary to metastatic prostate cancer. Tx:,Plate VBT,Reconstruction with free fibula,Non-op plate + RT,Observation,Reconstruction with free fibula,"Provides form, function, and load sharing",,,Vascularized bone graft needed for oncologic reconstruction.,,
"Q(3006): During inferior alveolar nerve block, patient reports electric shock in chin then numb lip only. Nerve likely:",Mandibular branch V3,Lingual nerve,Mental nerve,Buccal nerve,Mandibular branch V3,Needle contacted main trunk,,,Redirect lateral to anterior to avoid intraneural injection.,,
Q(3007): A 25-year-old with chronic MRONJ after bisphosphonate therapy—Stage 2:,Conservative debridement + antibiotics,Resection jaw,Hyperbaric O2 alone,Observation,Conservative debridement + antibiotics,Stage 2 responds to debridement and antibiotics,,,Recognize medication history before invasive surgery.,,
Q(3008): A phantom radiograph shows the maxillary sinus floor perforated—during extraction. Management:,Allow to heal spontaneously,Primary closure + flap,Reposition alveolar bone,Immediate bone graft,Primary closure + flap,Prevents oroantral fistula,,,Achieve tension-free closure with buccal advancement flap.,,
Q(3009): Inferior alveolar nerve transposition indicated for:,Implant in posterior mandible,Crown lengthening,Extraction of impacted canine,Orthognathic Le Fort I,Implant in posterior mandible,Provides direct nerve reposition for implant placement,,,Increased risk neurosensory deficits.,,
